# r1 r2 r3 energy
1.200000000000000000e+01 1.200000000000000000e+01 1.399999999999999911e+00 -1.338545233405553925e-01
1.198222009599999893e+01 1.198222009599999893e+01 1.400479999999999947e+00 -1.338519702170719305e-01
1.196444019199999964e+01 1.196444019199999964e+01 1.400959999999999761e+00 -1.338492867039623724e-01
1.194666028800000035e+01 1.194666028800000035e+01 1.401440000000000019e+00 -1.338464723373403442e-01
1.192888038399999928e+01 1.192888038399999928e+01 1.401919999999999833e+00 -1.338435266473717300e-01
1.191110047999999821e+01 1.191110047999999821e+01 1.402399999999999869e+00 -1.338404491582432243e-01
1.189332057600000070e+01 1.189332057600000070e+01 1.402879999999999905e+00 -1.338372393881492872e-01
1.187554067200000141e+01 1.187554067200000141e+01 1.403359999999999941e+00 -1.338338968492697734e-01
1.185776076800000034e+01 1.185776076800000034e+01 1.403839999999999977e+00 -1.338304210477513079e-01
1.183998086399999927e+01 1.183998086399999927e+01 1.404319999999999791e+00 -1.338268114836929368e-01
1.182220095999999998e+01 1.182220095999999998e+01 1.404799999999999827e+00 -1.338230676511248107e-01
1.180442105600000069e+01 1.180442105600000069e+01 1.405279999999999863e+00 -1.338191890380022453e-01
1.178664115199999962e+01 1.178664115199999962e+01 1.405759999999999899e+00 -1.338151751261838496e-01
1.176886124799999855e+01 1.176886124799999855e+01 1.406239999999999934e+00 -1.338110253914242542e-01
1.175108134399999926e+01 1.175108134399999926e+01 1.406719999999999748e+00 -1.338067393033697539e-01
1.173330143999999997e+01 1.173330143999999997e+01 1.407199999999999784e+00 -1.338023163255447900e-01
1.171552153599999890e+01 1.171552153599999890e+01 1.407680000000000042e+00 -1.337977559153397111e-01
1.169774163199999961e+01 1.169774163199999961e+01 1.408159999999999856e+00 -1.337930575240187936e-01
1.167996172800000032e+01 1.167996172800000032e+01 1.408639999999999892e+00 -1.337882205967058924e-01
1.166218182400000103e+01 1.166218182400000103e+01 1.409119999999999706e+00 -1.337832445723969865e-01
1.164440191999999996e+01 1.164440191999999996e+01 1.409599999999999742e+00 -1.337781288839417770e-01
1.162662201599999889e+01 1.162662201599999889e+01 1.410080000000000000e+00 -1.337728729580654752e-01
1.160884211199999960e+01 1.160884211199999960e+01 1.410559999999999814e+00 -1.337674762153637231e-01
1.159106220800000031e+01 1.159106220800000031e+01 1.411039999999999850e+00 -1.337619380703090055e-01
1.157328230399999924e+01 1.157328230399999924e+01 1.411519999999999664e+00 -1.337562579312654709e-01
1.155550239999999818e+01 1.155550239999999818e+01 1.411999999999999922e+00 -1.337504352005013386e-01
1.153772249599999888e+01 1.153772249599999888e+01 1.412479999999999958e+00 -1.337444692741924235e-01
1.151994259199999959e+01 1.151994259199999959e+01 1.412959999999999772e+00 -1.337383595424516403e-01
1.150216268799999852e+01 1.150216268799999852e+01 1.413439999999999808e+00 -1.337321053893398282e-01
1.148438278399999923e+01 1.148438278399999923e+01 1.413919999999999844e+00 -1.337257062131198271e-01
1.146660287999999994e+01 1.146660287999999994e+01 1.414399999999999880e+00 -1.337191615240199138e-01
1.144882297600000065e+01 1.144882297600000065e+01 1.414879999999999916e+00 -1.337124708716737609e-01
1.143104307199999958e+01 1.143104307199999958e+01 1.415359999999999729e+00 -1.337056338038142278e-01
1.141326316799999852e+01 1.141326316799999852e+01 1.415839999999999765e+00 -1.336986498663243206e-01
1.139548326399999922e+01 1.139548326399999922e+01 1.416319999999999801e+00 -1.336915186033632852e-01
1.137770335999999993e+01 1.137770335999999993e+01 1.416799999999999837e+00 -1.336842395574719677e-01
1.135992345600000064e+01 1.135992345600000064e+01 1.417279999999999873e+00 -1.336768122696948558e-01
1.134214355199999957e+01 1.134214355199999957e+01 1.417759999999999909e+00 -1.336692362797188005e-01
1.132436364800000028e+01 1.132436364800000028e+01 1.418240000000000167e+00 -1.336615111259839561e-01
1.130658374399999921e+01 1.130658374399999921e+01 1.418719999999999981e+00 -1.336536363458356580e-01
1.128880384000000170e+01 1.128880384000000170e+01 1.419200000000000017e+00 -1.336456114756630620e-01
1.127102393600000063e+01 1.127102393600000063e+01 1.419679999999999831e+00 -1.336374360510390880e-01
1.125324403200000134e+01 1.125324403200000134e+01 1.420160000000000089e+00 -1.336291096068869255e-01
1.123546412800000027e+01 1.123546412800000027e+01 1.420640000000000125e+00 -1.336206316776198944e-01
1.121768422400000098e+01 1.121768422400000098e+01 1.421119999999999939e+00 -1.336120017973205509e-01
1.119990431999999991e+01 1.119990431999999991e+01 1.421599999999999975e+00 -1.336032194999056122e-01
1.118212441600000062e+01 1.118212441600000062e+01 1.422079999999999789e+00 -1.335942843192960139e-01
1.116434451199999955e+01 1.116434451199999955e+01 1.422560000000000047e+00 -1.335851957896121156e-01
1.114656460800000026e+01 1.114656460800000026e+01 1.423040000000000083e+00 -1.335759534453439534e-01
1.112878470399999919e+01 1.112878470399999919e+01 1.423519999999999897e+00 -1.335665568215663734e-01
1.111100479999999990e+01 1.111100479999999990e+01 1.423999999999999932e+00 -1.335570054541269924e-01
1.109322489600000061e+01 1.109322489600000061e+01 1.424479999999999968e+00 -1.335472988798655503e-01
1.107544499200000132e+01 1.107544499200000132e+01 1.424960000000000004e+00 -1.335374366368146104e-01
1.105766508800000025e+01 1.105766508800000025e+01 1.425440000000000040e+00 -1.335274182644411167e-01
