# r12 r13 r23 energy(Hartree)
6.112206660000000014e+00 6.112206660000000014e+00 1.399999999999999911e+00 -1.745226869999459141e-01
6.100288050000000517e+00 6.100288050000000517e+00 1.399999999999999911e+00 -1.745226780343106243e-01
6.124125270000000398e+00 6.124125270000000398e+00 1.399999999999999911e+00 -1.745223437247591658e-01
6.088369440000000132e+00 6.088369440000000132e+00 1.399999999999999911e+00 -1.745223118973106280e-01
6.136043880000000783e+00 6.136043880000000783e+00 1.399999999999999911e+00 -1.745216524400298175e-01
6.076450830000000636e+00 6.076450830000000636e+00 1.399999999999999911e+00 -1.745215800896392500e-01
6.043151939823991903e+00 6.068230011366730459e+00 1.403851009323990873e+00 -1.745207710942158763e-01
6.147962490000000280e+00 6.147962490000000280e+00 1.399999999999999911e+00 -1.745206175244597702e-01
6.064532220000000251e+00 6.064532220000000251e+00 1.399999999999999911e+00 -1.745204731634656115e-01
6.040380931079832649e+00 6.066586724564579036e+00 1.403868139579831364e+00 -1.745203906246393100e-01
6.037610035238891726e+00 6.064941610222281732e+00 1.403885382738891074e+00 -1.745199930230410812e-01
6.034839232419245469e+00 6.063298864835442892e+00 1.403902718919244563e+00 -1.745195782205274382e-01
6.159881100000000664e+00 6.159881100000000664e+00 1.399999999999999911e+00 -1.745192434930243619e-01
6.032068523185196263e+00 6.061658487308766219e+00 1.403920148685195102e+00 -1.745191461482026030e-01
6.052613610000000754e+00 6.052613610000000754e+00 1.399999999999999911e+00 -1.745189817103611762e-01
6.029297907740958529e+00 6.060020475633324466e+00 1.403937672240958001e+00 -1.745186967376006204e-01
6.026527384983621616e+00 6.058384826110796872e+00 1.403955288483620834e+00 -1.745182299203162923e-01
6.023756955359063525e+00 6.056751537667842022e+00 1.403972997859062488e+00 -1.745177456285748607e-01
6.171799710000000161e+00 6.171799710000000161e+00 1.399999999999999911e+00 -1.745175349855573599e-01
6.020986619212171043e+00 6.055120606743703782e+00 1.403990800712169751e+00 -1.745172437944589039e-01
6.040695000000000370e+00 6.040695000000000370e+00 1.399999999999999911e+00 -1.745170963717400103e-01
6.018216375552149167e+00 6.053492032102073317e+00 1.404008696052148508e+00 -1.745167243505823251e-01
6.015446225135431035e+00 6.051865811303288822e+00 1.404026684635430122e+00 -1.745161872299599848e-01
6.012676167298867114e+00 6.050241940742228763e+00 1.404044765798865946e+00 -1.745156323654909747e-01
6.183718320000000546e+00 6.183718320000000546e+00 1.399999999999999911e+00 -1.745154967565104021e-01
6.009906202406472886e+00 6.048620420249526397e+00 1.404062939906472351e+00 -1.745150596908958129e-01
6.007136329792098550e+00 6.047001246400212082e+00 1.404081206292097761e+00 -1.745144691398983761e-01
6.004366549583627588e+00 6.045384416783866399e+00 1.404099565083626544e+00 -1.745138606465350406e-01
6.001596862204602090e+00 6.043769930717323824e+00 1.404118016704600791e+00 -1.745132341453294045e-01
6.195636930000000930e+00 6.195636930000000930e+00 1.399999999999999911e+00 -1.745131336648929610e-01
5.998827266563823812e+00 6.042157784964846456e+00 1.404136560063823147e+00 -1.745125895708559971e-01
5.996057763488037651e+00 6.040547977865770690e+00 1.404155195988036731e+00 -1.745119268581920846e-01
5.993288352027213328e+00 6.038940507271651548e+00 1.404173923527212153e+00 -1.745112459426648999e-01
5.990519033112657432e+00 6.037335372009438039e+00 1.404192743612656891e+00 -1.745105467596510529e-01
