# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.323096570803345173e+01 1.399999999999999911e+00 -1.727522216930185150e-01
1.198808138999999962e+01 1.321906380524413827e+01 1.399999999999999911e+00 -1.727526887622520546e-01
1.197616277999999923e+01 1.320716193258804516e+01 1.399999999999999911e+00 -1.727531568417881025e-01
1.196424417000000062e+01 1.319526009014671253e+01 1.399999999999999911e+00 -1.727536259224311532e-01
1.195232556000000024e+01 1.318335827800197180e+01 1.399999999999999911e+00 -1.727540959948058730e-01
1.194040694999999985e+01 1.317145649623595105e+01 1.399999999999999911e+00 -1.727545670493563224e-01
1.192848833999999947e+01 1.315955474493107857e+01 1.399999999999999911e+00 -1.727550390763440968e-01
1.191656973000000086e+01 1.314765302417007575e+01 1.399999999999999911e+00 -1.727555120658429699e-01
1.190465112000000047e+01 1.313575133403596773e+01 1.399999999999999911e+00 -1.727559860077413079e-01
1.189273250999999831e+01 1.312384967461207452e+01 1.399999999999999689e+00 -1.727564608917338540e-01
1.188081389999999971e+01 1.311194804598202879e+01 1.399999999999999911e+00 -1.727569367073245876e-01
1.186889529000000110e+01 1.310004644822975983e+01 1.399999999999999911e+00 -1.727574134438185638e-01
1.185697667999999894e+01 1.308814488143949717e+01 1.399999999999999911e+00 -1.727578910903264375e-01
1.184505806999999855e+01 1.307624334569578650e+01 1.399999999999999911e+00 -1.727583696357536114e-01
1.183313945999999994e+01 1.306434184108347907e+01 1.399999999999999689e+00 -1.727588490688047596e-01
1.182122085000000133e+01 1.305244036768773519e+01 1.399999999999999911e+00 -1.727593293779764727e-01
1.180930223999999917e+01 1.304053892559401540e+01 1.399999999999999911e+00 -1.727598105515566196e-01
1.179738362999999879e+01 1.302863751488811062e+01 1.399999999999999911e+00 -1.727602925776215437e-01
1.178546502000000018e+01 1.301673613565611376e+01 1.399999999999999911e+00 -1.727607754440315113e-01
1.177354640999999980e+01 1.300483478798443215e+01 1.399999999999999689e+00 -1.727612591384305452e-01
1.176162779999999941e+01 1.299293347195979464e+01 1.399999999999999911e+00 -1.727617436482678792e-01
1.174970918999999903e+01 1.298103218766924449e+01 1.399999999999999911e+00 -1.727622289611705497e-01
1.173779057999999864e+01 1.296913093520014648e+01 1.399999999999999911e+00 -1.727627150648596843e-01
1.172587197000000003e+01 1.295722971464018336e+01 1.399999999999999911e+00 -1.727632019468475499e-01
1.171395335999999965e+01 1.294532852607736295e+01 1.399999999999999689e+00 -1.727636895944202056e-01
1.170203474999999926e+01 1.293342736960001460e+01 1.399999999999999911e+00 -1.727641779946393619e-01
1.169011613999999888e+01 1.292152624529679450e+01 1.399999999999999911e+00 -1.727646671343402163e-01
1.167819753000000027e+01 1.290962515325668214e+01 1.399999999999999911e+00 -1.727651570001242087e-01
