# r1 r2 r3 energy
1.500000000000000000e+01 1.500000000000000000e+01 1.399999999999999911e+00 -1.726787158099786224e-01
1.498208139000000116e+01 1.498208139000000116e+01 1.399999999999999911e+00 -1.726791090180353483e-01
1.496416277999999878e+01 1.496416277999999878e+01 1.399999999999999911e+00 -1.726795041442382717e-01
1.494624416999999994e+01 1.494624416999999994e+01 1.399999999999999911e+00 -1.726799011965294284e-01
1.492832555999999933e+01 1.492832555999999933e+01 1.399999999999999911e+00 -1.726803001828476625e-01
1.491040695000000049e+01 1.491040695000000049e+01 1.399999999999999911e+00 -1.726807011111279044e-01
1.489248833999999988e+01 1.489248833999999988e+01 1.399999999999999911e+00 -1.726811039893003663e-01
1.487456972999999927e+01 1.487456972999999927e+01 1.399999999999999911e+00 -1.726815088252897090e-01
1.485665112000000043e+01 1.485665112000000043e+01 1.399999999999999911e+00 -1.726819156270142375e-01
1.483873250999999982e+01 1.483873250999999982e+01 1.399999999999999689e+00 -1.726823244023849846e-01
1.482081389999999921e+01 1.482081389999999921e+01 1.399999999999999911e+00 -1.726827351593048510e-01
1.480289529000000037e+01 1.480289529000000037e+01 1.399999999999999911e+00 -1.726831479056678553e-01
1.478497667999999976e+01 1.478497667999999976e+01 1.399999999999999911e+00 -1.726835626493580245e-01
1.476705806999999915e+01 1.476705806999999915e+01 1.399999999999999911e+00 -1.726839793982486715e-01
1.474913946000000031e+01 1.474913946000000031e+01 1.399999999999999689e+00 -1.726843981602012856e-01
1.473122084999999970e+01 1.473122084999999970e+01 1.399999999999999911e+00 -1.726848189430646163e-01
1.471330223999999909e+01 1.471330223999999909e+01 1.399999999999999911e+00 -1.726852417546738960e-01
1.469538363000000025e+01 1.469538363000000025e+01 1.399999999999999911e+00 -1.726856666028495635e-01
1.467746501999999964e+01 1.467746501999999964e+01 1.399999999999999911e+00 -1.726860934953964311e-01
1.465954640999999903e+01 1.465954640999999903e+01 1.399999999999999689e+00 -1.726865224401026300e-01
1.464162779999999842e+01 1.464162779999999842e+01 1.399999999999999911e+00 -1.726869534447383892e-01
1.462370918999999958e+01 1.462370918999999958e+01 1.399999999999999911e+00 -1.726873865170553690e-01
1.460579058000000074e+01 1.460579058000000074e+01 1.399999999999999911e+00 -1.726878216647852182e-01
1.458787196999999836e+01 1.458787196999999836e+01 1.399999999999999911e+00 -1.726882588956385189e-01
1.456995335999999952e+01 1.456995335999999952e+01 1.399999999999999689e+00 -1.726886982173038154e-01
1.455203475000000068e+01 1.455203475000000068e+01 1.399999999999999911e+00 -1.726891396374462539e-01
