# r12 r13 r23 energy
1.200000000000000000e+01 1.105446571083976082e+01 1.399999999999999911e+00 -1.727977215951253809e-01
1.198808138999999962e+01 1.104259503963020528e+01 1.399999999999999911e+00 -1.727982612076807145e-01
1.197616277999999923e+01 1.103072447180727522e+01 1.399999999999999911e+00 -1.727988018083815025e-01
1.196424417000000062e+01 1.101885400770510692e+01 1.399999999999999911e+00 -1.727993434073203660e-01
1.195232556000000024e+01 1.100698364765926662e+01 1.399999999999999911e+00 -1.727998860147032245e-01
1.194040694999999985e+01 1.099511339200677540e+01 1.399999999999999911e+00 -1.728004296393619299e-01
1.192848833999999947e+01 1.098324324108610917e+01 1.399999999999999911e+00 -1.728009742359645495e-01
1.191656973000000086e+01 1.097137319523719867e+01 1.399999999999999911e+00 -1.728015196898410322e-01
1.190465112000000047e+01 1.095950325480145082e+01 1.399999999999999911e+00 -1.728020658801535658e-01
1.189273250999999831e+01 1.094763342012174334e+01 1.399999999999999689e+00 -1.728026126841996912e-01
1.188081389999999971e+01 1.093576369154244787e+01 1.399999999999999911e+00 -1.728031599773879046e-01
1.186889529000000110e+01 1.092389406940942465e+01 1.399999999999999911e+00 -1.728037076332130106e-01
1.185697667999999894e+01 1.091202455407003313e+01 1.399999999999999911e+00 -1.728042555232313093e-01
1.184505806999999855e+01 1.090015514587314804e+01 1.399999999999999911e+00 -1.728048035170350050e-01
1.183313945999999994e+01 1.088828584516916287e+01 1.399999999999999689e+00 -1.728053514822268655e-01
1.182122085000000133e+01 1.087641665230999344e+01 1.399999999999999911e+00 -1.728058992843938269e-01
1.180930223999999917e+01 1.086454756764908502e+01 1.399999999999999911e+00 -1.728064467870811249e-01
1.179738362999999879e+01 1.085267859154144077e+01 1.399999999999999911e+00 -1.728069938517650395e-01
1.178546502000000018e+01 1.084080972434360390e+01 1.399999999999999911e+00 -1.728075403378261932e-01
1.177354640999999980e+01 1.082894096641367909e+01 1.399999999999999689e+00 -1.728080861025225734e-01
1.176162779999999941e+01 1.081707231811134129e+01 1.399999999999999911e+00 -1.728086310009606108e-01
1.174970918999999903e+01 1.080520377979783930e+01 1.399999999999999911e+00 -1.728091748860680066e-01
1.173779057999999864e+01 1.079333535183601711e+01 1.399999999999999911e+00 -1.728097176085650055e-01
1.172587197000000003e+01 1.078146703459029965e+01 1.399999999999999911e+00 -1.728102590169353081e-01
1.171395335999999965e+01 1.076959882842672300e+01 1.399999999999999689e+00 -1.728107989573969827e-01
1.170203474999999926e+01 1.075773073371293442e+01 1.399999999999999911e+00 -1.728113372738725173e-01
1.169011613999999888e+01 1.074586275081819764e+01 1.399999999999999911e+00 -1.728118738079587602e-01
1.167819753000000027e+01 1.073399488011341241e+01 1.399999999999999911e+00 -1.728124083988971660e-01
1.166627891999999989e+01 1.072212712197111095e+01 1.399999999999999911e+00 -1.728129408835415992e-01
1.165436030999999772e+01 1.071025947676547574e+01 1.399999999999999689e+00 -1.728134710963286635e-01
1.164244169999999912e+01 1.069839194487234835e+01 1.399999999999999911e+00 -1.728139988692441453e-01
1.163052309000000051e+01 1.068652452666923658e+01 1.399999999999999911e+00 -1.728145240317921771e-01
1.161860448000000012e+01 1.067465722253531446e+01 1.399999999999999689e+00 -1.728150464109626250e-01
1.160668586999999796e+01 1.066279003285144711e+01 1.399999999999999911e+00 -1.728155658311971432e-01
1.159476725999999935e+01 1.065092295800020139e+01 1.399999999999999689e+00 -1.728160821143567560e-01
1.158284865000000075e+01 1.063905599836583171e+01 1.399999999999999911e+00 -1.728165950796868300e-01
1.157093004000000036e+01 1.062718915433431377e+01 1.399999999999999911e+00 -1.728171045437838504e-01
1.155901142999999998e+01 1.061532242629334277e+01 1.399999999999999911e+00 -1.728176103205600611e-01
1.154709282000000137e+01 1.060345581463234943e+01 1.400000000000000133e+00 -1.728181122212076593e-01
1.153517421000000098e+01 1.059158931974250351e+01 1.399999999999999911e+00 -1.728186100541637127e-01
1.152325560000000060e+01 1.057972294201672270e+01 1.399999999999999911e+00 -1.728191036250737722e-01
1.151133699000000021e+01 1.056785668184969040e+01 1.399999999999999911e+00 -1.728195927367548179e-01
1.149941838000000160e+01 1.055599053963786282e+01 1.399999999999999911e+00 -1.728200771891581777e-01
1.148749976999999944e+01 1.054412451577946364e+01 1.400000000000000133e+00 -1.728205567845114421e-01
1.147558116000000084e+01 1.053225861067452662e+01 1.399999999999999911e+00 -1.728210313401425668e-01
1.146366255000000045e+01 1.052039282472487081e+01 1.399999999999999911e+00 -1.728215006746306182e-01
1.145174394000000007e+01 1.050852715833413420e+01 1.399999999999999911e+00 -1.728219646039340918e-01
1.143982532999999968e+01 1.049666161190777025e+01 1.399999999999999911e+00 -1.728224229434205950e-01
1.142790672000000107e+01 1.048479618585307094e+01 1.400000000000000133e+00 -1.728228756932484456e-01
1.141598811000000069e+01 1.047293088057916144e+01 1.399999999999999911e+00 -1.728233231893598065e-01
1.140406950000000030e+01 1.046106569649702323e+01 1.399999999999999911e+00 -1.728237658081004380e-01
1.139215088999999992e+01 1.044920063401950294e+01 1.399999999999999911e+00 -1.728242039320434797e-01
1.138023228000000131e+01 1.043733569356131774e+01 1.399999999999999911e+00 -1.728246379500749941e-01
1.136831366999999915e+01 1.042547087553906238e+01 1.399999999999999911e+00 -1.728250682574793695e-01
1.135639506000000054e+01 1.041360618037123942e+01 1.399999999999999911e+00 -1.728254952560281943e-01
1.134447645000000016e+01 1.040174160847824325e+01 1.399999999999999911e+00 -1.728259193540673810e-01
1.133255783999999977e+01 1.038987716028239205e+01 1.399999999999999911e+00 -1.728263409666087602e-01
1.132063922999999939e+01 1.037801283620792780e+01 1.399999999999999911e+00 -1.728267605154193698e-01
1.130872062000000078e+01 1.036614863668103226e+01 1.399999999999999911e+00 -1.728271784291149360e-01
1.129680201000000039e+01 1.035428456212983228e+01 1.399999999999999911e+00 -1.728275951432531876e-01
1.128488340000000001e+01 1.034242061298441762e+01 1.399999999999999911e+00 -1.728280111004285302e-01
1.127296478999999962e+01 1.033055678967684798e+01 1.399999999999999911e+00 -1.728284267503679417e-01
1.126104618000000102e+01 1.031869309264117085e+01 1.399999999999999911e+00 -1.728288425500286718e-01
1.124912756999999885e+01 1.030682952231341432e+01 1.399999999999999911e+00 -1.728292589636963583e-01
1.123720896000000025e+01 1.029496607913162798e+01 1.399999999999999911e+00 -1.728296764630863624e-01
1.122529034999999986e+01 1.028310276353586517e+01 1.399999999999999911e+00 -1.728300955274431616e-01
1.121337174000000125e+01 1.027123957596821846e+01 1.399999999999999911e+00 -1.728305166436446827e-01
1.120145312999999909e+01 1.025937651687280550e+01 1.399999999999999911e+00 -1.728309403063056915e-01
1.118953452000000048e+01 1.024751358669581514e+01 1.399999999999999911e+00 -1.728313670178832917e-01
1.117761591000000010e+01 1.023565078588548438e+01 1.399999999999999911e+00 -1.728317972887838394e-01
1.116569729999999971e+01 1.022378811489213035e+01 1.399999999999999911e+00 -1.728322316374717449e-01
1.115377868999999933e+01 1.021192557416815916e+01 1.399999999999999911e+00 -1.728326705905784133e-01
1.114186008000000072e+01 1.020006316416807657e+01 1.399999999999999911e+00 -1.728331146830144327e-01
1.112994146999999856e+01 1.018820088534849688e+01 1.399999999999999911e+00 -1.728335644580821506e-01
1.111802285999999995e+01 1.017633873816816426e+01 1.399999999999999911e+00 -1.728340204675894720e-01
1.110610424999999957e+01 1.016447672308795269e+01 1.399999999999999911e+00 -1.728344832719661273e-01
1.109418564000000096e+01 1.015261484057088914e+01 1.399999999999999911e+00 -1.728349534403816057e-01
1.108226702999999880e+01 1.014075309108215528e+01 1.399999999999999911e+00 -1.728354315508625894e-01
1.107034842000000019e+01 1.012889147508912302e+01 1.399999999999999911e+00 -1.728359181904160213e-01
1.105842980999999980e+01 1.011702999306132966e+01 1.399999999999999911e+00 -1.728364139551488432e-01
1.104651119999999942e+01 1.010516864547052585e+01 1.399999999999999911e+00 -1.728369194503932837e-01
1.103459258999999903e+01 1.009330743279066844e+01 1.399999999999999911e+00 -1.728374352908324807e-01
1.102267398000000043e+01 1.008144635549794543e+01 1.399999999999999911e+00 -1.728379621006270461e-01
1.101075536999999827e+01 1.006958541407077412e+01 1.399999999999999911e+00 -1.728385005135447128e-01
1.099883675999999966e+01 1.005772460898982956e+01 1.399999999999999911e+00 -1.728390511730709123e-01
1.098691814999999927e+01 1.004586394073805167e+01 1.399999999999999911e+00 -1.728396147040146824e-01
