# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.332417622438274840e+01 1.399999999999999911e+00 -1.727910955579395336e-01
1.198808138999999962e+01 1.331226531992369821e+01 1.399999999999999911e+00 -1.727917931692927456e-01
1.197616277999999923e+01 1.330035442927023936e+01 1.399999999999999911e+00 -1.727924933304500754e-01
1.196424417000000062e+01 1.328844355245950304e+01 1.399999999999999911e+00 -1.727931960484273000e-01
1.195232556000000024e+01 1.327653268952873766e+01 1.399999999999999911e+00 -1.727939013302003668e-01
1.194040694999999985e+01 1.326462184051533555e+01 1.399999999999999911e+00 -1.727946091827040898e-01
1.192848833999999947e+01 1.325271100545682401e+01 1.399999999999999911e+00 -1.727953196128309277e-01
1.191656973000000086e+01 1.324080018439086359e+01 1.399999999999999911e+00 -1.727960326274299296e-01
1.190465112000000047e+01 1.322888937735524451e+01 1.399999999999999911e+00 -1.727967482333053195e-01
1.189273250999999831e+01 1.321697858438789730e+01 1.399999999999999689e+00 -1.727974664372154967e-01
1.188081389999999971e+01 1.320506780552689996e+01 1.399999999999999911e+00 -1.727981872458714263e-01
1.186889529000000110e+01 1.319315704081045126e+01 1.399999999999999911e+00 -1.727989106659357510e-01
1.185697667999999894e+01 1.318124629027689032e+01 1.399999999999999911e+00 -1.727996367040211534e-01
1.184505806999999855e+01 1.316933555396470723e+01 1.399999999999999911e+00 -1.728003653666892181e-01
1.183313945999999994e+01 1.315742483191251999e+01 1.399999999999999689e+00 -1.728010966604490439e-01
1.182122085000000133e+01 1.314551412415909404e+01 1.399999999999999911e+00 -1.728018305917557729e-01
1.180930223999999917e+01 1.313360343074332270e+01 1.399999999999999911e+00 -1.728025671670094243e-01
1.179738362999999879e+01 1.312169275170425919e+01 1.399999999999999911e+00 -1.728033063925533408e-01
1.178546502000000018e+01 1.310978208708108461e+01 1.399999999999999911e+00 -1.728040482746726891e-01
1.177354640999999980e+01 1.309787143691312394e+01 1.399999999999999689e+00 -1.728047928195931560e-01
1.176162779999999941e+01 1.308596080123985317e+01 1.399999999999999911e+00 -1.728055400334793656e-01
1.174970918999999903e+01 1.307405018010087971e+01 1.399999999999999911e+00 -1.728062899224334925e-01
1.173779057999999864e+01 1.306213957353597088e+01 1.399999999999999911e+00 -1.728070424924936233e-01
1.172587197000000003e+01 1.305022898158502720e+01 1.399999999999999911e+00 -1.728077977496322581e-01
1.171395335999999965e+01 1.303831840428809841e+01 1.399999999999999689e+00 -1.728085556997548400e-01
1.170203474999999926e+01 1.302640784168537813e+01 1.399999999999999911e+00 -1.728093163486978390e-01
1.169011613999999888e+01 1.301449729381721454e+01 1.399999999999999911e+00 -1.728100797022276702e-01
1.167819753000000027e+01 1.300258676072409436e+01 1.399999999999999911e+00 -1.728108457660384734e-01
1.166627891999999989e+01 1.299067624244666241e+01 1.399999999999999911e+00 -1.728116145456760067e-01
1.165436030999999772e+01 1.297876573902570030e+01 1.399999999999999689e+00 -1.728123860460224204e-01
1.164244169999999912e+01 1.296685525050215304e+01 1.399999999999999911e+00 -1.728131602715972381e-01
1.163052309000000051e+01 1.295494477691711133e+01 1.399999999999999911e+00 -1.728139372268274465e-01
1.161860448000000012e+01 1.294303431831180617e+01 1.399999999999999689e+00 -1.728147169160469954e-01
1.160668586999999796e+01 1.293112387472763380e+01 1.399999999999999911e+00 -1.728154993434949660e-01
1.159476725999999935e+01 1.291921344620614498e+01 1.399999999999999689e+00 -1.728162845133136560e-01
1.158284865000000075e+01 1.290730303278903079e+01 1.399999999999999911e+00 -1.728170724295463867e-01
1.157093004000000036e+01 1.289539263451814399e+01 1.399999999999999911e+00 -1.728178630961357543e-01
1.155901142999999998e+01 1.288348225143549364e+01 1.399999999999999911e+00 -1.728186565169214095e-01
1.154709282000000137e+01 1.287157188358324156e+01 1.400000000000000133e+00 -1.728194526956378929e-01
1.153517421000000098e+01 1.285966153100370413e+01 1.399999999999999911e+00 -1.728202516359128027e-01
1.152325560000000060e+01 1.284775119373935759e+01 1.399999999999999911e+00 -1.728210533412643246e-01
1.151133699000000021e+01 1.283584087183283451e+01 1.399999999999999911e+00 -1.728218578150992613e-01
